cohesion,separation,alignment_variance,clusters,isolated,connected
5.273588422776688e-08,6078.205166018703,1081.8185544191117,26,0,100
5.268454093395127e-08,7350.666878901738,1128.2013228498633,27,0,100
5.314954033776008e-08,8114.828475542588,1270.7078228872695,27,0,100
5.3449246004233587e-08,6277.311783851034,1527.1543909109514,28,0,100
5.396764574045112e-08,6578.513816105101,1212.443492722968,29,0,100
5.5134325322784004e-08,7983.498200133858,829.3382806838135,29,0,100
5.6331732964958103e-08,7028.195504506136,993.3673394861263,26,0,100
5.7308695238550987e-08,7372.584395967021,1230.1794137291076,25,0,100
5.7652493480820126e-08,6974.570590045595,850.559520306761,27,0,100
5.8820960212318875e-08,7713.791556905868,809.48803598013,29,0,100
6.018390416468653e-08,7760.4943754613305,787.148053267468,30,0,100
6.224693150744853e-08,8617.23482171264,818.457405505495,33,0,100
6.443336930178832e-08,8812.648216744565,998.8074190122604,34,0,100
6.694145436038794e-08,9188.775906037838,807.0818711918765,33,0,100
7.247086573888908e-08,10114.764108645364,804.7266007617118,33,0,100
7.392326754114478e-08,10065.918481088345,865.7745653006463,34,0,100
7.67154187325544e-08,10604.890842590337,819.0793059697056,32,0,100
8.320542170058682e-08,11353.411062628446,822.545029030881,33,0,100
8.63338910031531e-08,11767.84902761642,894.0787250835018,36,0,100
8.857567057825456e-08,12152.701292873295,767.9878384476963,36,0,100
1.0135935961403312e-07,13048.205936970788,853.7883723354258,37,0,100
1.0637700887631725e-07,13188.87692872285,735.3361247313079,36,0,100
1.1465808630304422e-07,13706.607995291171,563.1446567662923,36,0,100
1.1958034051453525e-07,14021.430364558579,549.6323226130122,37,0,100
1.198793516903232e-07,14124.065840800104,521.8673836257902,37,0,100
1.2165654291394817e-07,14165.903880602766,413.0867734383483,37,0,100
1.2831083474062448e-07,14283.309582665921,489.6432123103028,36,0,100
1.288623299235858e-07,14348.764297948861,305.27935300092525,36,0,100
1.2948421216082564e-07,14322.250937814366,409.0999562983361,36,0,100
1.3013587629381423e-07,14348.561420165172,307.2520590173221,35,0,100
1.3518264244389593e-07,14528.48137058532,293.54278075192536,35,0,100
1.3597769260415953e-07,14576.00030944156,269.2302821978019,34,0,100
1.369021119623233e-07,14575.750597596474,317.17955004620705,34,0,100
1.4169725534108789e-07,14711.295476829864,341.51793449720975,36,0,100
1.4264595257840508e-07,14785.637490570993,302.79338202622625,35,0,100
1.473672966940244e-07,14960.627318659315,308.0769914845779,35,0,100
1.5227183460506452e-07,15083.097074998668,301.42745498351076,35,0,100
1.5702455354193312e-07,15258.866216703325,279.508616691954,35,0,100
1.619377397643042e-07,15406.359199192564,223.87698022452702,33,0,100
1.6222843064081935e-07,15523.889556976941,187.12988094873995,33,0,100
1.6271259780775476e-07,15497.316276379526,284.534119321782,34,0,100
1.6676448144423386e-07,15648.48511027757,371.238803811171,33,0,100
1.6672954078216302e-07,15704.603518772801,159.12923052210178,33,0,100
1.672969899260804e-07,15556.422054122608,244.59410733723414,34,0,100
1.6787435215773007e-07,15625.70464978883,235.8860600375609,34,0,100
1.6768441596248235e-07,15738.670731302076,225.43005112951357,34,0,100
